respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Autorizo a United Way Colombia a realizar toma de fotografías, videos o entrevistas en las que aparezco y cedo el uso de mi imagen y registros de las actividades en las cuales participé, para los fines contemplado en la Política de Privacidad para el Tratamiento de Datos Personales de dicha entidad, en la cual se incluyen, entre otras, la realización de piezas de comunicación interna y externa. Como titular de los datos podré, en cualquier momento, solicitar que la información sea modificada, actualizada o retirada de las bases de datos de United Way Colombia. Lo invitamos a conocer los detalles en: https://bit.ly/2O4diuQ,DEPARTAMENTO,NOMBRE DEL CENTRO EDUCATIVO,Queremos saber cuánto te gusta ir al colegio, estudiar y aprender. Piensa en algo que te haya sucedido el año pasado en tu colegio, que te produjo una de estas trescosas. Escoge una:,De acuerdo con la situación que escogiste en la pregunta anterior ¿Cuál experiencia compartirías? Describe la experiencia, y lo que pasó,Sugiere un #hashtag o un título para tu respuesta anterior:,En la experiencia que escribí… (historia),Mi historia está relacionada con…,Esa situación me ayudó a…,Esta situación me va a ayudar a…,Esto me ayudó a entender…,En mi escuela mis profesores se dedican a…,Pensando en la situación/ejemplo que compartí... Esto me animó a aprender…,Lo que aprendí fue…,Lo que aprendí tiene importancia para…,Esta situación me generó una sensación de… ,Esta situación sucede…,Esta historia se relaciona con…,Grado...,Edad... ,El nivel de educación de mis padres o acudientes es…,Género
12766119948,405335401,2021-06-23 07:31:23,2021-06-23 07:49:15,201.219.246.67,,,,,Sí,CAUCA,Jorge Isaac,te confundió, Avesese. Sentia. Con fundido. Cuando. De jabón.  Tareas.  Por.  Que. Estudiar.  Virtual.  Esas. Feo. Que. Estudiar.  Presesial y. Aprender di. Además.así. de. Estar. Con fundido.    Aprender di. Lo. Que. Estaba. Pasando. Ami. Al rededor  sobre. La. Situacion. En. La.   Que. Estamos ,No,Me sentí confundido/no entendí nada,Conmigo mismo,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,50,100,Angustia/Miedo,No se,,9,14 a 16 años,Bachiller,Hombre
12764836802,405335401,2021-06-22 19:39:09,2021-06-22 19:44:43,181.129.248.58,,,,,Sí,VALLE DEL CAUCA,Centro,te enseñó algo nuevo,Aprendo mucho más sobre las matemáticas es mucha la explicación que hacen y es muy chévere conocer a los profesores y aprender de ellos ,#matematicas100,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Ser más creativo,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,0,0,100,Satisfacción/orgullo,Todo el tiempo,La forma cómo los profesores enseñan,11,17 a 19 años,Bachiller,Mujer
12764018695,405335401,2021-06-22 13:46:10,2021-06-22 13:54:57,181.58.254.88,,,,,Sí,CAUCA,Jorge Isaac,te enseñó algo nuevo,No mucho porque cuando entré al colegio empezo en corana viruz,,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,13,4,4,Felicidad,Rara vez,El cuidado del medio ambiente,7,11 a 13 años,Bachiller,Hombre
12763884669,405335401,2021-06-22 10:03:47,2021-06-22 13:00:43,181.143.236.165,,,,,No,VALLE DEL CAUCA,Simón Bolívar,te dio curiosidad por aprender más,,,Me sentí confundido/no entendí nada,Conmigo mismo,Desarrollar mis habilidades,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,53,51,51,no está seguro,Con frecuencia,Ninguna de las anteriores,6,11 a 13 años,Bachiller,Mujer
12763757659,405335401,2021-06-22 11:27:39,2021-06-22 12:13:38,200.110.174.3,,,,,Sí,VALLE DEL CAUCA,Centro,te confundió,En los problemas de física matemática me enrredo mucho y no entiendo ,La física matemática con sus enrredos,Me sentí confundido/no entendí nada,Conmigo mismo,Aprender cosas,Entender mejor,Lo que pasa hoy,Ayudarnos a alcanzar lo que nos proponemos,100,50,15,Felicidad,Rara vez,Cómo resolver conflictos,10,14 a 16 años,Bachiller,Mujer
12763746568,405335401,2021-06-22 12:02:48,2021-06-22 12:09:26,200.110.174.3,,,,,Sí,VALLE DEL CAUCA,Centro,te enseñó algo nuevo,Ir al colegio para aprender cada día más ,Aprender cada día más ,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Entender mejor,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,100,56,100,Felicidad,Todo el tiempo,El trabajo en equipo,10,14 a 16 años,Bachiller,Mujer
12763712169,405335401,2021-06-22 11:51:58,2021-06-22 11:59:49,179.1.48.36,,,,,Sí,VALLE DEL CAUCA,Centro,te confundió,Que nacimos por el Big Bang y luego que no que nacimos por ela creación de Dios,#somos creados por Dios,Me sentí confundido/no entendí nada,Mi país/el mundo,Aprender cosas,Entender mejor,Lo que pasaba antes,Ayudarnos a alcanzar lo que nos proponemos,100,13,100,no está seguro,Una vez,Mi aporte a la humanidad/al mundo/a los demás,10,14 a 16 años,Bachiller,Hombre
12763711303,405335401,2021-06-22 11:50:45,2021-06-22 11:58:06,181.143.235.163,,,,,Sí,VALLE DEL CAUCA,Centro,te enseñó algo nuevo,Me gusto la clase educación física porque me gusta el deporte  y me gusta  lo que el profesor enseña porque me sirve a ser fuerte y mi cuerpo esté en resistencia también porque  hacemos cosas creativas ,El deporte es divertido y te ayuda a ser fuerte,Aprendí algo nuevo,Quienes me rodean,Aprender cosas,Ser más creativo,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,48,13,100,Felicidad,No se,La forma cómo los profesores enseñan,10,14 a 16 años,Bachiller,Mujer
12763702261,405335401,2021-06-22 11:44:58,2021-06-22 11:55:13,181.53.253.30,,,,,No,VALLE DEL CAUCA,Jorge Isaac,te enseñó algo nuevo,Que pude perder él miedo en sustentar ,Perder el miedo ,Aprendí algo nuevo,Quienes me rodean,Entender a lo que pasa a mi alrededor,Entender mejor,Lo que pasa hoy,Mostrarnos nuevos mundos y nuevas posibilidades,50,43,100,Satisfacción/orgullo,Todo el tiempo,La forma cómo los profesores enseñan,11,17 a 19 años,Bachiller,Mujer
12763701881,405335401,2021-06-22 11:32:33,2021-06-22 11:57:18,181.53.253.49,,,,,Sí,VALLE DEL CAUCA,Jorge Isaac,te enseñó algo nuevo,Pues el año pasado con todo lo del covid pensé que se me iba a hacer muy difícil entender a mis profesores, con las clases e instrucciones fui avanzando y me fue muy bien el año pasado, me di cuenta que no tengo que cuestionarme y debo creer más en mi.,#somoscapases,Aprendí algo nuevo,Conmigo mismo,Desarrollar mis habilidades,Hacer cosas,Lo que podría pasar en el futuro,Mostrarnos nuevos mundos y nuevas posibilidades,50,55,60,Satisfacción/orgullo,Rara vez,Ninguna de las anteriores,10,14 a 16 años,Técnico,Mujer
